Belgian Second Division,,FC Brussels,Tubize,1-3,4,1-1,0-2,14,31,12,38,11,21,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,3,57.1,2,28.6,5,71.4,2,2,0,0,100,1,50,1,50,5,2,0,3,40,1,20,4,80,2.59,2.44,3.15,3.10,2.51,2.70,0,,0.98,0.85,0.92,1.05,2.5,,1.00,1.08,0.88,0.80
Russian National Football League,,Luch Energiya,FK Angusht Nazran,1-0,1,0-0,1-0,19,48,33,88,8,16,9,29,10,27,21,54,27,11,2,14,40.7,10,37,13,48.1,14,3,2,9,21.4,5,35.7,6,42.9,13,8,0,5,61.5,5,38.5,7,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,FK Angusht Nazran,Rotor Volgograd,0-2,2,0-1,0-1,24,77,19,71,5,20,12,27,15,44,16,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,15,3,9,55.6,10,37,17,63,13,6,2,5,46.2,5,38.5,8,61.5,14,9,1,4,64.3,5,35.7,9,64.3
Russian National Football League,,FK Ruan Tosno,Anzhi Makhachkala,1-0,1,0-0,1-0,19,63,27,85,3,21,8,14,12,42,17,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,1,66.7,1,16.7,3,50,4,3,0,1,75,1,25,2,50,2,1,1,0,50,0,0,1,50
Russian National Football League,,Yenisey Krasnoyarsk,SKA Khabarovsk,0-0,0,0-0,0-0,7,21,8,27,25,65,24,65,16,39,13,42,27,10,2,15,37,12,44.4,14,51.9,13,4,1,8,30.8,7,53.8,6,46.2,14,6,1,7,42.9,5,35.7,8,57.1,27,14,3,10,51.9,12,44.4,12,44.4,14,8,2,4,57.1,5,35.7,7,50,13,6,1,6,46.2,7,53.8,5,38.5
Russian National Football League,,Tyumen,FK Sochi,0-0,0,0-0,0-0,16,29,6,19,27,61,19,65,21,46,10,35,9,4,1,4,44.4,4,44.4,5,55.6,5,3,0,2,60,2,40,3,60,4,1,1,2,25,2,50,2,50,22,11,1,10,50,8,36.4,12,54.5,12,4,1,7,33.3,4,33.3,7,58.3,10,7,0,3,70,4,40,5,50
Russian National Football League,,Volgar-Gazprom Astrachan,Baltika Kaliningrad,1-1,2,1-1,0-0,12,24,7,16,20,46,13,45,17,37,13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,4,9,51.9,10,37,14,51.9,13,7,1,5,53.8,5,38.5,7,53.8,14,7,3,4,50,5,35.7,7,50
Russian National Football League,,Luch Energiya,Baltika Kaliningrad,1-1,2,0-0,1-1,12,24,7,16,20,46,13,45,17,37,13,33,27,11,2,14,40.7,10,37,13,48.1,14,3,2,9,21.4,5,35.7,6,42.9,13,8,0,5,61.5,5,38.5,7,53.8,27,14,4,9,51.9,10,37,14,51.9,13,7,1,5,53.8,5,38.5,7,53.8,14,7,3,4,50,5,35.7,7,50
Slovenia 1.Liga,"Light rain, 18℃～19℃",NK Rudar Velenje,Domzale,0-0,0,0-0,0-0,5,20,10,23,30,79,34,73,17,45,22,34,25,9,1,15,36,11,44,10,40,12,4,0,8,33.3,6,50,5,41.7,13,5,1,7,38.5,5,38.5,5,38.5,25,4,4,17,16,16,64,8,32,13,2,3,8,15.4,6,46.2,6,46.2,12,2,1,9,16.7,10,83.3,2,16.7
Russian National Football League,,Alania Vladikavkaz,Spartak Nalchik,1-0,1,0-0,1-0,10,20,12,20,19,56,29,56,14,44,21,37,5,2,0,3,40,2,40,2,40,3,1,0,2,33.3,2,66.7,1,33.3,2,1,0,1,50,0,0,1,50,7,3,0,4,42.9,2,28.6,5,71.4,3,1,0,2,33.3,1,33.3,2,66.7,4,2,0,2,50,1,25,3,75
